Anno;CAP;totale_veicoli;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;ALTRE ALIMENTAZIONI;ALIMENTAZIONE NON DEFINITO;18 - 25 ANNI;26 - 35 ANNI;36 - 50 ANNI;51 - 60 ANNI;61 - 70 ANNI;0 - 17 ANNI;ETÀ NON CONTEMPLATO;ETÀ NON DEFINITO;OLTRE 70 ANNI;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 5B;EURO 6;EURO 6A;EURO 6B;EURO 6C;EURO 6D;EURO NON CONTEMPLATO;EURO NON DEFINITO;SESSO FEMMINILE;SESSO MASCHILE;SESSO ND;SOCIETÀ PA;SOCIETÀ SAPA;SOCIETÀ SAS;SOCIETÀ SNC;SOCIETÀ SOC;SOCIETÀ SPA;SOCIETÀ SRL;SOCIETÀ SURL;SRLS;ANZIANITÀ VEICOLO 0 - 1 ANNI;ANZIANITÀ VEICOLO 2 – 3 ANNI;ANZIANITÀ VEICOLO 4 – 5 ANNI;ANZIANITÀ VEICOLO 6 – 7 ANNI;ANZIANITÀ VEICOLO 8 – 9 ANNI;ANZIANITÀ VEICOLO 10 - 12 ANNI;ANZIANITÀ VEICOLO 13 - 15 ANNI;ANZIANITÀ VEICOLO OLTRE 15 ANNI;ANZIANITÀ VEICOLO NON DEFINITO
2019;40129;10021;4444;1376;674;3;3263;251;9;;;1;184;1043;2885;2310;1499;;536;5;1559;651;146;610;958;2893;2058;;2700;;;;;3;2;3656;5829;3;;;54;49;97;93;240;;;1100;1191;931;806;975;1579;1196;2240;3
2019;40136;5249;2604;307;171;24;1803;328;12;;;;91;349;1169;1214;1078;;327;11;1010;442;85;253;343;1123;1132;;1846;;;;;24;1;2249;2673;1;;;27;14;49;14;222;;;706;826;612;424;501;668;448;1059;5
2020;40126;5518;2583;459;242;15;1884;274;19;41;1;;47;650;1276;1022;958;;649;7;909;495;96;268;389;1307;1089;;1854;;;;;15;5;2053;2816;18;28;;58;48;120;140;237;;;625;676;607;422;450;765;621;1347;5
2020;40128;17969;7525;2294;1066;27;6110;718;27;201;;1;258;1803;5068;3630;2524;;1780;13;2893;934;253;869;1379;4628;3663;;6212;;;;;27;4;6190;9999;6;7;;64;93;234;753;618;2;3;2070;2378;1953;1502;1526;2551;2221;3763;5
2020;40135;5033;2508;413;227;17;1498;306;16;48;;;63;437;1151;1096;937;1;192;4;1152;321;52;194;292;1158;1047;;1951;;;;;17;1;2095;2746;;2;;26;20;58;2;76;;8;643;712;620;445;445;660;590;917;1
2020;40138;19493;8167;2216;1150;48;6535;922;234;221;;;253;1919;4698;3858;2906;2;3015;21;2821;1004;272;840;1410;4618;3788;;7510;;;;;48;3;6774;9704;;34;;110;240;206;954;1469;;2;3017;2564;2150;1608;1486;2661;2202;3802;3
2021;40127;15713;6604;2078;994;53;4949;787;43;204;;1;257;1749;4087;3303;2398;2;1076;24;2817;1073;231;792;1176;3886;3012;;5489;;;;;53;1;5615;9022;5;26;;116;107;126;257;435;1;3;1486;1783;1743;1348;1131;2156;2002;4060;4
2021;40129;9936;4259;1441;572;27;3048;452;27;109;;1;189;1005;2758;2317;1602;;490;7;1568;620;133;483;753;2472;1942;;3504;;;;;27;2;3704;5742;3;;;46;39;83;82;233;;4;839;1152;1147;880;761;1438;1230;2486;3
2021;40131;14615;6256;1861;715;102;4636;829;52;164;;;213;1562;3818;2886;2151;;1451;17;2517;803;246;691;1134;3427;2764;;5446;;;;;102;2;5216;7948;2;1;;61;56;71;25;1228;;7;1498;1672;1737;1354;1085;1923;1819;3525;2
2021;40132;14769;6277;1864;904;47;4711;696;39;231;;;274;1454;4114;3199;2266;1;804;12;2645;756;195;565;935;3366;2982;;5921;;;;;47;2;5512;8453;;;;46;58;49;188;453;;10;1439;1965;1878;1523;1150;1974;1798;3040;2
2021;40138;18824;7840;2148;1069;153;5828;1289;236;261;;;279;1867;4627;3799;2966;2;2342;24;2918;985;248;757;1215;4064;3497;;7902;;;;;153;3;6863;9619;;33;;103;188;133;587;1285;;13;2533;2435;2304;1725;1377;2392;2098;3957;3
2021;40141;11169;5146;1268;558;38;3226;779;39;114;;1;179;1049;2785;2587;1983;1;150;24;2411;553;130;436;708;2556;2204;;4542;;;;;38;2;4683;6336;1;;;29;21;12;5;80;;2;1084;1450;1505;1081;853;1516;1395;2282;3
2022;40122;6310;2910;582;240;32;1950;486;35;74;;1;65;605;1542;1221;968;;793;4;1112;458;85;237;352;1233;1178;;2733;;;;;32;2;2275;3242;7;44;;62;46;100;10;515;;9;744;694;751;622;465;759;706;1566;3
2022;40124;4232;2049;335;215;27;1176;338;61;30;1;;40;355;749;799;766;;706;13;804;418;60;155;223;849;669;;1829;;;;;27;2;1486;2040;;24;;43;21;210;55;337;;16;406;487;513;444;315;444;490;1130;3
2022;40126;5385;2452;478;217;28;1629;481;54;46;;;50;576;1185;999;952;;623;10;990;491;87;210;302;1067;936;;2259;;;;;28;5;2000;2762;18;25;;51;40;112;146;226;;5;555;628;603;545;354;627;604;1464;5
2022;40127;15848;6454;2109;932;75;5007;1001;65;204;;1;267;1820;3964;3277;2515;2;1198;25;2780;1058;221;714;1085;3707;2913;;6074;;;;;75;1;5604;9046;5;18;;116;113;130;358;452;1;5;1418;1621;1805;1518;1155;1842;2070;4415;4
2022;40128;18431;7457;2422;1013;65;5885;1270;83;235;;1;276;1817;5062;3798;2690;;1884;18;2886;924;254;739;1169;4104;3471;;7701;;;;;65;4;6351;10196;4;5;;65;76;283;748;636;;67;1545;2227;2262;1890;1434;2253;2273;4542;5
2022;40131;14760;6196;1891;699;78;4561;1084;71;180;;;218;1544;3798;2867;2236;;1559;18;2520;796;240;646;1063;3200;2722;;6013;;;;;78;2;5207;7994;2;1;;54;55;70;17;1353;;7;1381;1507;1759;1575;1144;1718;1842;3832;2
2022;40141;11122;5038;1268;530;48;3123;954;50;110;;1;169;1028;2726;2548;2022;;149;27;2453;545;124;381;656;2379;2079;;4908;;;;;48;2;4693;6280;1;;;28;20;15;5;77;;3;990;1303;1415;1326;866;1304;1397;2518;3
2023;40121;4145;1766;333;145;39;1320;416;73;53;;;39;397;789;752;628;;778;12;750;370;56;152;196;709;627;;1994;;;;;39;2;1382;1985;10;4;;54;48;137;35;461;;29;404;470;527;466;321;376;421;1154;6
2023;40122;6122;2784;574;214;41;1766;613;62;67;;1;68;573;1509;1178;995;;670;8;1121;448;81;214;303;1091;1094;;2848;;;;;41;2;2253;3199;7;50;;61;42;103;11;387;;9;600;662;739;638;536;635;693;1616;3
2023;40124;4185;2007;341;200;40;1094;400;71;32;;;34;344;731;777;763;;684;17;835;398;60;143;201;762;639;;1940;;;;;40;2;1468;2033;;24;;44;22;192;51;338;;13;364;457;477;473;373;391;463;1184;3
2023;40128;18978;7423;2556;962;122;5849;1726;109;230;;1;269;1864;5039;3811;2773;;2268;22;2932;918;241;683;1077;3918;3371;;8644;;;;;122;4;6446;10264;4;5;;67;75;292;968;744;;113;1574;2050;2285;2173;1589;2049;2249;5004;5
2023;40129;9869;4088;1405;525;44;2874;782;40;110;;1;177;1035;2601;2265;1766;;407;16;1602;597;127;394;633;2164;1789;;4119;;;;;44;2;3717;5745;3;;;42;35;38;53;228;;8;758;857;1079;1122;830;1071;1274;2875;3
2023;40133;20871;8826;2596;958;149;5980;1972;106;284;;;309;2163;5149;4912;3336;;1200;14;3788;1031;238;655;1088;4213;3784;;9712;;;;;149;1;7821;11850;1;;;75;108;47;351;601;;17;2121;2102;2425;2407;1819;2256;2525;5211;5
2023;40141;11113;4962;1265;506;60;2956;1174;71;118;;1;184;1017;2651;2541;2083;;135;31;2471;549;114;329;578;2174;1986;;5321;;;;;60;2;4702;6276;1;;;28;18;9;4;71;;4;1013;1067;1395;1436;1002;1205;1243;2749;3
2024;40127;16177;6269;2147;830;128;4876;1546;186;195;;;270;1810;3946;3233;2640;1;1389;30;2858;1062;206;585;933;3284;1617;1052;5807;;1460;42;;128;1;5698;9090;97;11;;108;121;134;482;417;;19;1550;1369;1585;1684;1447;1559;1843;5136;4
2024;40129;9908;4032;1413;482;62;2814;943;52;109;;1;178;1018;2536;2280;1828;;391;16;1661;592;126;367;567;2002;1063;666;3490;1;949;21;;62;2;3755;5762;5;;;41;33;39;52;212;;9;812;783;989;1099;950;993;1248;3031;3
2024;40131;15349;6369;1895;638;126;4249;1791;110;170;1;;231;1518;3641;2869;2365;;2138;20;2567;787;210;519;853;2725;1542;1021;6139;;1386;39;;126;2;5269;7942;8;;;55;47;81;10;1923;;14;1935;1233;1558;1588;1512;1572;1644;4305;2
2024;40135;5065;2307;418;189;86;1263;678;80;44;;;60;435;1026;1129;1019;1;206;8;1181;295;37;127;198;845;482;312;2106;;558;19;;86;;2080;2779;4;;;24;20;55;2;95;;6;495;519;594;641;521;528;521;1245;1
2024;40137;12630;5649;1147;461;108;3191;1811;164;99;;;157;1187;2885;2586;2539;1;480;41;2754;681;128;322;464;2084;1228;852;5367;1;1344;49;;108;2;5384;6766;4;1;;52;45;73;23;267;1;14;1249;1261;1502;1598;1319;1308;1358;3032;3
2024;40138;20151;7742;2214;873;367;5458;2954;299;244;;;261;2094;4310;3786;3251;;3341;31;3077;939;220;551;951;3337;1870;1242;8688;;1939;43;1;367;3;6993;9817;7;36;;79;136;118;1377;1516;;72;3069;1841;2233;2270;1791;1895;2083;4966;3
2024;40139;21667;9082;2819;1108;125;5663;2447;150;269;2;2;258;1957;5373;4660;3772;;500;35;5112;1026;215;596;952;3927;2254;1570;8650;1;2287;57;;125;7;8864;12303;17;76;;63;60;79;10;185;;10;1961;1868;2517;2661;2313;2306;2530;5501;10
2019;40122;6439;3130;573;320;4;2213;194;4;;;1;62;630;1602;1220;974;1;848;6;1096;484;101;356;497;1710;1367;;1918;;;;;4;2;2283;3308;7;45;;70;59;109;9;549;;;866;739;650;514;627;976;666;1398;3
2019;40123;4029;2071;299;174;2;1321;155;7;;;;44;385;1052;823;701;;404;17;603;412;83;216;290;1028;799;;1195;;;;;2;4;1515;2110;5;1;;34;26;84;29;224;1;;468;534;382;316;383;575;404;963;4
2019;40125;5297;2703;359;201;6;1820;201;6;;;1;43;462;1112;1070;894;;680;5;1031;499;94;264;426;1302;1122;;1581;;;;;6;3;2128;2489;4;2;;46;47;225;38;318;;;660;683;489;430;524;759;521;1228;3
2019;40126;5563;2623;444;287;6;1986;206;10;;1;;47;616;1326;1058;947;;683;6;880;493;100;301;445;1442;1123;;1648;;;;;6;5;2062;2818;18;47;;57;49;120;140;252;;;699;710;488;432;558;808;574;1289;5
2019;40127;15867;7021;1981;1195;23;5231;400;15;;;1;311;1575;4231;3197;2316;1;1443;14;2779;1081;265;990;1490;4380;3155;;4482;;;;;23;1;5448;8976;6;30;;113;117;128;417;631;1;;2088;1849;1362;1208;1467;2401;1921;3566;5
2019;40128;17782;7598;2252;1275;11;6112;520;13;;;1;286;1762;5123;3517;2481;;1777;11;2825;944;268;964;1546;4948;3753;;5344;;;;;11;4;6112;9893;6;7;;62;91;234;728;647;2;;2303;2331;1672;1439;1770;2712;2016;3534;5
2019;40132;15163;6737;1863;1214;3;4970;369;7;;;;295;1409;4337;3073;2210;1;1248;10;2580;769;207;777;1213;3986;3340;;4866;;;;;3;2;5392;8523;1;;;51;81;48;386;681;;;2136;1945;1713;1290;1452;2242;1645;2738;2
2019;40133;20637;9432;2373;1353;13;6795;657;13;;1;;348;2068;5705;4536;2952;2;1357;10;3659;1097;290;990;1676;5684;4402;;6484;;;;;13;1;7541;11739;1;;;75;123;58;304;796;;;2951;2574;2105;1649;2029;3149;2307;3868;5
2019;40135;5011;2521;412;263;11;1548;249;7;;;;71;434;1169;1090;919;1;209;4;1114;318;54;215;352;1241;1120;;1699;;;;;11;1;2071;2731;;2;;31;21;61;2;92;;;711;715;532;449;516;710;488;889;1
2019;40137;12561;6293;1170;632;12;3856;587;11;;;;141;1158;3216;2617;2356;1;482;26;2564;716;160;579;881;3288;2813;;4110;;;;;12;2;5248;6831;2;1;;80;58;74;28;238;1;;1685;1722;1373;1091;1298;1836;1292;2261;3
2019;40138;20021;8236;2152;1354;27;7527;666;59;;;;268;1881;4797;3836;2803;3;3633;17;2783;1023;296;937;1587;4999;3973;;7176;;;;;27;3;6692;9696;;34;;110;235;413;1663;1178;;;3758;2550;1940;1529;1825;2795;1978;3643;3
2019;40139;21381;9978;2603;1655;14;6437;681;11;;;2;282;2040;5769;4386;3396;;498;24;4986;1103;272;1107;1676;5953;4705;;6544;;;;;14;7;8462;12421;;49;;96;70;95;10;178;;;2728;2789;2271;1758;2202;3242;2429;3952;10
2020;40127;15803;6862;2047;1019;35;5100;528;45;166;;1;259;1686;4173;3245;2406;1;1217;18;2798;1082;242;887;1345;4182;3085;;4944;;;;;35;1;5544;9042;6;28;;117;108;123;251;583;1;;1749;1859;1543;1185;1312;2256;2073;3821;5
2020;40131;14780;6423;1811;746;36;4878;726;23;137;;;218;1532;3916;2852;2086;;1699;15;2462;812;252;753;1260;3743;2889;;5033;;;;;36;2;5174;7907;2;1;;68;63;64;26;1474;;1;1733;1826;1639;1183;1210;2044;1868;3275;2
2020;40132;14943;6517;1897;962;10;4867;463;14;213;;;318;1401;4218;3107;2242;1;1018;12;2626;767;203;656;1039;3692;3145;;5429;;;;;10;2;5449;8476;;;;47;68;49;275;576;;3;1863;1931;1782;1358;1275;2113;1774;2845;2
2020;40133;20779;9307;2418;1129;52;6717;884;31;240;1;;431;2153;5653;4583;3028;2;1184;10;3735;1090;273;893;1538;5329;4241;;7362;;;;;52;1;7635;11960;1;;;76;118;54;276;659;;;2688;2586;2309;1731;1742;2967;2572;4179;5
2020;40134;8236;4045;823;379;4;2468;433;12;72;;;94;909;2321;1734;1394;;243;11;1530;472;99;363;559;2153;1744;;2840;;;;;4;2;3351;4642;1;;;39;34;67;7;95;;;910;1086;915;708;703;1222;1018;1672;2
2020;40136;5370;2596;307;156;36;1799;427;20;29;;;96;355;1171;1230;1128;;332;13;1045;440;83;233;317;1040;1053;;2167;;;;;36;1;2300;2738;1;;;28;16;41;12;234;;;676;840;699;464;422;624;527;1114;4
2020;40141;11195;5323;1248;566;21;3315;589;24;108;;1;178;1068;2841;2523;2023;1;160;20;2381;560;139;498;797;2813;2334;;4031;;;;;21;2;4652;6383;1;;;34;24;13;5;81;;2;1306;1418;1404;965;962;1588;1374;2175;3
2020;ND;532;409;34;11;;76;;;1;;1;;3;74;100;95;;70;10;180;202;46;82;77;119;;;;;;;;;6;153;309;1;8;;8;3;29;4;17;;;;;;;;;98;427;7
2021;40121;4165;1864;324;173;21;1419;268;42;54;;;48;386;881;780;603;;732;7;728;382;66;192;257;825;714;;1705;;;;;21;3;1411;2022;10;2;;56;53;145;33;416;;17;476;558;513;358;281;474;452;1046;7
2021;40123;3954;1955;312;134;17;1191;278;26;41;;;45;368;958;804;714;;409;19;637;386;72;165;219;835;702;;1554;;;;;17;4;1466;2079;4;1;;35;23;78;23;242;1;2;435;482;480;346;286;481;443;997;4
2021;40125;5146;2584;339;173;23;1597;354;46;29;;1;51;417;989;1054;860;;655;9;1111;476;86;196;336;1039;982;;2005;;;;;23;3;2071;2420;4;4;;45;42;221;28;308;;3;566;670;609;417;363;659;566;1293;3
