Anno;CAP;totale_veicoli;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;ALTRE ALIMENTAZIONI;ALIMENTAZIONE NON DEFINITO;18 - 25 ANNI;26 - 35 ANNI;36 - 50 ANNI;51 - 60 ANNI;61 - 70 ANNI;0 - 17 ANNI;ETÀ NON CONTEMPLATO;ETÀ NON DEFINITO;OLTRE 70 ANNI;EURO 0;EURO 1;EURO 2;EURO 3;EURO 4;EURO 5;EURO 5B;EURO 6;EURO 6A;EURO 6B;EURO 6C;EURO 6D;EURO NON CONTEMPLATO;EURO NON DEFINITO;SESSO FEMMINILE;SESSO MASCHILE;SESSO ND;SOCIETÀ PA;SOCIETÀ SAPA;SOCIETÀ SAS;SOCIETÀ SNC;SOCIETÀ SOC;SOCIETÀ SPA;SOCIETÀ SRL;SOCIETÀ SURL;SRLS;ANZIANITÀ VEICOLO 0 - 1 ANNI;ANZIANITÀ VEICOLO 2 – 3 ANNI;ANZIANITÀ VEICOLO 4 – 5 ANNI;ANZIANITÀ VEICOLO 6 – 7 ANNI;ANZIANITÀ VEICOLO 8 – 9 ANNI;ANZIANITÀ VEICOLO 10 - 12 ANNI;ANZIANITÀ VEICOLO 13 - 15 ANNI;ANZIANITÀ VEICOLO OLTRE 15 ANNI;ANZIANITÀ VEICOLO NON DEFINITO
2021;40133;20719;9061;2520;1079;116;6431;1159;60;292;1;;487;2098;5556;4694;3097;2;1037;11;3737;1067;257;795;1359;4864;4137;;8123;;;;;116;1;7667;12015;1;;;77;116;54;177;605;;7;2262;2603;2468;1961;1568;2856;2578;4418;5
2021;40135;5080;2456;420;219;33;1470;405;29;48;;;64;434;1147;1122;952;1;180;5;1175;321;42;160;255;1076;993;;2199;;;;;33;1;2111;2789;;2;;24;20;53;1;79;;1;559;750;662;492;417;638;593;968;1
2021;ND;474;366;31;10;;66;;;;;1;;;59;91;74;;65;12;173;194;42;70;62;100;;;;;;;;;6;131;278;1;8;;6;3;27;4;16;;;;;;;;;48;419;7
2022;40123;3932;1925;314;125;22;1129;336;40;41;;;43;366;919;791;731;;408;18;656;380;73;162;190;774;672;;1656;;;;;22;3;1459;2065;3;1;;33;21;62;17;261;1;9;395;457;435;419;287;429;443;1064;3
2022;40125;5058;2514;329;164;33;1521;411;56;29;;1;43;421;922;1045;858;;638;9;1122;471;85;171;305;957;903;;2130;;;;;33;3;2064;2356;4;4;;42;42;214;31;295;;6;486;604;622;499;372;557;570;1345;3
2022;40129;9841;4141;1401;545;34;2980;597;30;112;;1;166;1010;2660;2265;1716;;458;13;1553;605;132;433;673;2283;1864;;3815;;;;;34;2;3699;5684;3;;;42;40;37;93;239;;4;793;1002;1145;1005;782;1221;1296;2594;3
2022;40132;14914;6255;1892;860;57;4644;928;60;218;;;300;1484;3969;3336;2336;;782;15;2692;743;186;529;872;3222;2859;;6444;;;;;57;2;5583;8549;;;;47;54;41;188;441;;11;1366;1719;1900;1646;1234;1764;1874;3409;2
2022;40133;20467;8863;2547;1006;105;6031;1532;76;307;;;297;2091;5366;4739;3205;;1011;9;3749;1038;245;721;1185;4437;3951;;8784;;;;;105;1;7718;11738;1;;;78;115;49;226;530;;12;2086;2331;2495;2174;1613;2501;2554;4708;5
2022;40134;8095;3875;795;357;27;2236;686;35;84;;;92;856;2095;1789;1490;;226;17;1530;463;88;267;462;1770;1548;;3468;;;;;27;2;3365;4504;1;;;27;35;57;10;96;;;746;910;1018;894;648;960;1005;1912;2
2022;40136;5410;2500;303;140;82;1642;633;74;36;;;92;406;1156;1128;1240;1;282;17;1088;438;79;231;309;861;904;;2505;;;;;82;1;2289;2839;1;;;23;14;43;11;187;;3;606;691;756;556;390;558;515;1335;3
2022;40137;12518;5849;1156;514;61;3485;1247;99;107;;;146;1123;3052;2626;2448;;498;39;2586;690;132;377;591;2452;2400;;5813;;;;;61;2;5308;6712;1;1;;66;51;70;23;279;1;6;1207;1599;1674;1458;1068;1482;1369;2658;3
2022;40139;21544;9360;2786;1234;68;6100;1617;88;289;;2;277;1977;5553;4651;3510;;495;30;5051;1061;237;761;1144;4634;4189;;9443;;;;;68;7;8707;12342;;84;;77;66;73;11;178;;6;1868;2578;2757;2485;1793;2666;2610;4777;10
2022;ND;433;339;29;9;;55;;;;;1;;;32;91;74;;65;12;159;188;40;63;51;86;;;;;;;;;5;117;251;1;8;;6;3;27;4;16;;;;;;;;;7;420;6
2023;40123;3923;1893;327;116;27;1043;424;55;38;;;52;379;839;806;738;;411;19;679;380;73;152;172;713;592;;1811;;;;;27;3;1440;2072;3;1;;34;18;59;18;262;1;15;349;458;437;436;319;354;421;1146;3
2023;40126;5381;2425;473;207;43;1534;580;73;46;;;48;539;1185;1005;938;;636;13;1017;485;90;192;263;993;880;;2430;;;;;43;5;1979;2766;18;22;;49;39;110;150;239;;9;562;550;615;563;394;552;578;1562;5
2023;40132;14891;6076;1911;815;91;4456;1236;93;213;;;300;1415;3897;3417;2308;;799;18;2737;728;164;483;799;3034;2724;;6866;;;;;91;2;5602;8490;;;;43;58;38;264;378;;18;1430;1381;1856;1716;1341;1629;1840;3696;2
2023;40136;5330;2432;300;131;108;1493;748;86;32;;;78;409;1019;1138;1198;1;311;19;1157;431;73;181;230;790;826;;2690;;;;;108;1;2262;2757;1;;;24;13;43;10;218;;2;550;687;733;615;438;490;487;1327;3
2023;40138;19746;7782;2211;919;324;5722;2102;432;254;;;246;2034;4421;3756;3163;;3068;31;3027;967;222;609;1019;3631;3270;;9701;;;;;324;3;6951;9727;;36;;87;163;121;974;1629;;58;2480;2207;2415;2218;1611;1950;2163;4699;3
2023;40139;21579;9254;2772;1174;89;5879;2017;115;277;;2;259;2003;5419;4661;3643;;498;33;5063;1042;230;676;1043;4298;4031;;10163;;;;;89;7;8747;12334;;78;;73;65;79;10;185;;8;1826;2101;2745;2632;2047;2434;2497;5287;10
2023;ND;399;313;25;9;;51;;;;;1;;;26;77;66;;64;11;155;185;38;53;44;74;;;;;;;;;5;102;233;1;8;;6;3;27;4;15;;;;;;;;;;393;6
2024;40124;4145;1951;337;190;52;988;501;96;30;;;32;315;711;781;762;;674;16;854;392;54;126;182;713;361;207;1705;1;327;23;;52;2;1434;2037;3;27;;40;22;201;52;314;;15;424;398;441;453;386;381;424;1235;3
2024;40125;5053;2456;335;141;51;1326;612;100;31;;1;57;390;868;943;933;;678;14;1170;469;86;152;267;782;491;284;2002;;439;27;;51;3;2043;2332;23;4;;46;33;210;30;318;;14;505;488;561;547;453;459;521;1516;3
2024;40128;19325;7301;2485;940;477;5622;2150;127;222;;1;260;1882;4933;3822;2872;;2569;25;2962;913;231;616;983;3614;1965;1242;7344;;1898;38;;477;4;6514;10242;12;5;;60;72;304;1234;719;;163;1932;1935;2058;2176;1812;1920;2226;5261;5
2024;40133;21469;8851;2649;915;204;5891;2542;140;273;4;;285;2149;4951;5004;3444;;1826;16;3794;1019;229;598;972;3836;2217;1375;8867;1;2086;64;;204;1;7839;11804;4;;;67;104;46;431;1142;;32;2315;2101;2434;2451;2097;2140;2409;5517;5
2024;40141;11130;4887;1255;466;81;2823;1403;90;124;;1;170;984;2664;2474;2153;;166;32;2487;541;106;303;484;2042;1106;752;4508;;1166;39;;81;2;4770;6194;13;;;27;18;12;4;82;;10;1044;1027;1270;1341;1187;1149;1197;2912;3
2019;40121;4092;1910;298;209;7;1512;144;12;;;;46;380;952;758;616;;682;7;651;383;83;227;319;974;790;;1306;;;;;7;3;1422;1988;12;;;53;56;123;37;401;;;548;577;359;310;358;569;396;968;7
2019;40124;4423;2227;352;261;4;1407;164;8;;;;43;346;965;812;750;;785;11;711;437;71;258;369;1102;840;;1340;;;;;4;2;1528;2110;;64;1;46;28;266;57;323;;;520;570;454;318;412;629;451;1066;3
2019;40131;15018;6560;1917;896;14;5095;517;18;;1;;196;1610;3864;2812;2100;;2035;15;2386;824;265;866;1408;4007;3033;;4599;;;;;14;2;5089;7894;3;1;;71;65;63;22;1810;;;2117;1795;1482;1148;1429;2263;1660;3122;2
2019;40134;8124;4033;819;448;4;2482;337;1;;;;98;866;2330;1724;1352;;248;9;1497;476;104;407;617;2323;1796;;2395;;;;;4;2;3265;4611;1;;;45;35;62;7;98;;;963;1059;822;696;827;1292;895;1568;2
2019;40141;11223;5362;1270;714;3;3396;469;8;;;1;173;1040;2928;2513;2009;1;166;20;2373;568;154;569;890;3066;2469;;3502;;;;;3;2;4639;6418;1;;;34;24;17;5;84;1;;1387;1547;1144;959;1126;1757;1246;2054;3
2019;ND;586;444;38;14;;89;;;;;1;;3;99;106;108;;71;9;190;210;51;96;92;131;;;;;;;;;6;167;348;1;8;;8;3;30;4;17;;;;;;;;10;120;449;7
2020;40121;4113;1906;298;175;14;1456;196;21;47;;;49;365;933;761;619;;695;7;684;376;76;206;283;900;776;;1479;;;;;14;3;1421;1997;11;;;56;53;135;35;401;;4;529;551;442;322;300;520;464;978;7
2020;40122;6359;3069;571;266;7;2106;274;12;53;;1;65;635;1582;1181;1007;;767;6;1116;483;93;316;444;1517;1314;;2183;;;;;7;2;2300;3292;7;45;;71;53;106;7;477;;1;789;755;692;528;532;900;710;1450;3
2020;40123;4044;2024;303;143;10;1317;199;16;32;;;45;374;1023;822;697;;444;15;624;397;78;192;254;950;769;;1390;;;;;10;4;1484;2116;5;1;;35;27;81;28;266;1;;462;494;469;321;320;525;480;969;4
2020;40124;4298;2152;328;231;7;1320;216;17;27;;;43;362;836;823;746;;739;11;738;426;66;206;280;991;781;;1539;;;;;7;2;1517;2042;;39;;45;26;222;56;339;;12;474;564;502;352;321;591;445;1046;3
2020;40125;5198;2636;348;176;13;1723;264;13;24;;1;48;427;1042;1055;890;;657;6;1073;485;91;219;383;1146;1068;;1790;;;;;13;3;2083;2458;4;3;;45;45;224;29;307;;;598;663;588;418;431;681;554;1262;3
2020;40129;9980;4389;1401;567;13;3155;339;14;101;;1;176;1006;2852;2318;1529;;521;6;1572;640;131;526;864;2674;2020;;3110;;;;;13;2;3696;5763;3;;;47;41;93;91;246;;;1002;1140;1061;842;801;1514;1271;2346;3
2020;40137;12610;6201;1163;550;22;3778;772;29;95;;;147;1149;3142;2665;2383;1;490;29;2604;720;149;509;766;2985;2688;;4769;;;;;22;2;5340;6780;1;1;;77;61;72;27;249;1;1;1543;1758;1563;1141;1089;1726;1435;2352;3
2020;40139;21527;9880;2694;1398;34;6302;936;31;250;;2;293;1969;5756;4512;3394;;523;24;5056;1105;259;975;1431;5460;4581;;7675;;;;;34;7;8570;12434;;82;;97;69;86;10;179;;;2549;2815;2548;1902;1879;2989;2716;4119;10
2021;40122;6220;2908;581;253;16;1975;391;29;66;;1;74;631;1552;1202;1008;;629;4;1120;461;87;266;390;1358;1248;;2392;;;;;16;2;2296;3295;7;44;;64;52;97;9;352;;4;682;778;681;583;452;892;693;1456;3
2021;40124;4271;2094;332;223;19;1258;274;38;32;1;;50;340;811;810;762;;716;12;770;410;61;170;252;923;705;;1729;;;;;19;2;1515;2040;;30;;47;24;219;52;338;;6;452;550;522;407;265;537;471;1064;3
2021;40126;5405;2497;481;222;22;1724;379;33;46;1;;47;614;1236;1003;956;;603;10;936;494;90;230;332;1171;1003;;2058;;;;;22;5;2014;2788;18;27;;57;44;112;141;203;;1;558;688;627;441;402;689;629;1366;5
2021;40128;17962;7432;2357;1044;52;5839;964;53;220;;1;285;1822;5121;3721;2597;;1485;15;2916;934;249;780;1256;4344;3552;;6791;;;;;52;4;6315;10162;4;6;;62;80;229;492;579;;33;1666;2317;2153;1634;1348;2540;2234;4065;5
2021;40134;8176;3955;787;374;21;2360;562;29;88;;;92;865;2277;1707;1463;;245;14;1513;475;98;305;503;1921;1647;;3204;;;;;21;2;3352;4579;1;;;32;34;68;8;102;;;849;1014;1012;780;615;1111;1039;1754;2
2021;40136;5399;2527;297;151;67;1724;545;49;39;;;95;404;1201;1201;1152;1;277;16;1052;438;77;247;328;922;974;;2345;;;;;67;1;2300;2822;1;;;24;16;39;11;186;;;679;784;693;516;362;607;531;1223;4
2021;40137;12600;6025;1171;532;41;3627;1043;55;106;;;149;1160;3085;2679;2413;;489;35;2590;707;136;423;678;2671;2536;;5406;;;;;41;2;5346;6765;1;1;;73;55;69;24;263;1;2;1321;1804;1661;1317;979;1688;1373;2454;3
2021;40139;21565;9635;2749;1334;59;6172;1270;59;285;;2;278;2007;5658;4639;3396;;503;25;5059;1086;250;826;1250;5041;4402;;8644;;;;;59;7;8659;12403;;89;;80;68;72;10;183;;1;2081;2832;2754;2220;1667;2994;2611;4396;10
2022;40121;4143;1813;321;163;34;1354;349;55;54;;;52;366;845;765;628;;746;9;732;376;63;173;216;753;660;;1866;;;;;34;2;1399;1998;10;4;;56;49;137;36;435;;19;471;513;530;410;285;397;447;1084;6
2022;40135;5093;2428;425;197;49;1415;482;46;51;;;67;449;1093;1146;959;;189;5;1185;306;42;152;232;1010;933;;2369;;;;;49;;2105;2799;;;;28;20;54;1;85;;1;510;674;672;573;409;600;556;1098;1
2022;40138;19449;7804;2169;1014;183;5831;1647;518;283;;;265;1870;4534;3770;3026;2;2988;26;2968;972;237;675;1101;3834;3374;;9070;;;;;183;3;6877;9584;;33;;92;177;128;1103;1427;;28;2573;2469;2395;1967;1427;2144;2201;4270;3
2023;40125;5057;2485;340;156;44;1418;505;79;29;;1;52;383;920;1002;913;;639;11;1137;465;85;162;283;888;846;;2281;;;;;44;3;2067;2351;4;4;;44;39;207;31;302;;8;419;570;595;570;377;519;558;1446;3
2023;40127;16018;6460;2102;882;120;4901;1230;119;203;;1;275;1838;3988;3240;2594;2;1231;27;2823;1057;208;680;1048;3539;2778;;6587;;;;;120;1;5637;9150;4;13;;110;112;133;427;412;1;19;1336;1450;1758;1670;1299;1655;1929;4917;4
2023;40131;15239;6321;1911;666;117;4548;1410;80;186;;;223;1528;3684;2859;2337;;2056;21;2531;783;222;558;942;3041;2632;;6942;;;;;117;2;5200;7983;2;;;53;47;76;13;1848;;17;1738;1338;1676;1674;1346;1587;1778;4100;2
2023;40134;8106;3785;807;346;39;2160;826;58;85;;;99;834;2069;1777;1533;1;219;18;1556;467;82;242;428;1641;1477;;3728;;;;;39;2;3389;4498;1;;;28;35;55;7;93;;;670;844;962;980;710;880;954;2104;2
2023;40135;5094;2373;417;185;68;1365;580;59;47;;;59;446;1053;1131;993;1;198;7;1206;298;40;139;224;921;872;;2532;;;;;68;;2074;2822;;;;27;21;52;1;92;;5;458;584;699;622;462;535;527;1206;1
2023;40137;12603;5756;1156;489;80;3393;1508;118;103;;;162;1157;2949;2630;2534;1;492;42;2636;687;129;344;532;2307;2252;;6270;;;;;80;2;5330;6781;1;1;;60;48;71;23;279;1;8;1159;1353;1704;1541;1207;1348;1389;2899;3
2024;40121;4156;1733;332;139;50;1250;499;104;49;;;43;366;747;720;601;;930;11;738;365;60;131;184;650;363;215;1746;;367;24;;50;1;1329;1897;139;4;;54;38;134;36;487;;38;438;477;475;474;351;347;388;1200;6
2024;40122;6157;2756;583;210;52;1665;752;82;56;;1;66;565;1431;1175;1056;;724;10;1130;429;76;193;276;977;649;381;2565;;533;24;;52;2;2269;3164;11;50;;53;41;100;10;442;;17;645;626;677;700;561;597;718;1630;3
2024;40123;3853;1842;313;114;37;941;502;64;40;;;35;353;771;795;751;;408;21;719;381;73;138;154;650;346;193;1575;1;286;18;;37;1;1420;2025;12;1;;34;16;50;17;255;;23;386;401;414;380;356;332;390;1191;3
2024;40126;5300;2369;468;182;57;1392;690;88;54;;;44;521;1103;1013;918;;650;15;1036;468;88;178;228;892;493;297;2122;;452;20;;57;5;1918;2732;19;22;;50;38;112;148;249;;12;548;564;536;528;492;462;554;1611;5
2024;40132;15084;6016;1954;772;117;4266;1631;131;197;;;284;1487;3764;3484;2415;;844;18;2788;718;165;437;725;2824;1528;1034;5981;;1518;35;;117;2;5691;8549;7;;;41;66;38;302;372;;18;1621;1305;1643;1747;1484;1562;1704;4016;2
2024;40134;8072;3670;807;319;56;2038;1016;78;88;;;84;824;1998;1817;1533;1;234;22;1559;466;82;217;383;1493;801;548;3181;1;812;30;;56;2;3372;4466;11;;;32;34;52;8;97;;;750;764;857;960;835;803;880;2221;2
2024;40136;5317;2419;277;114;137;1333;872;139;26;;;81;376;1014;1143;1156;1;308;19;1219;423;70;173;208;713;442;287;2367;;468;28;;137;1;2262;2747;5;;;23;10;40;12;214;;4;584;622;683;648;486;442;474;1375;3
2024;ND;365;287;23;8;;46;;;;;1;;;;;;;365;;;177;34;45;40;61;;;;;4;;;;4;;;365;;;;;;;;;;;;;;;;;359;6
